Newspaper,BLIP Caption x NER Title,ITM x NER Title,ITC x NER Title,Title s_Positive,Title s_Neutral,Title s_Negative,BLIP Caption x NER Caption,ITM x NER Caption,ITC x NER Caption,Caption s_Positive,Caption s_Neutral,Caption s_Negative,BLIP Caption x KW Body,ITM x KW Body,ITC x KW Body,Body s_Positive,Body s_Neutral,Body s_Negative,Body s_Positive Prime Minister,Body s_Neutral Prime Minister,Body s_Negative Prime Minister
Times of Malta,0.13384740087038466,0.24439548605556366,0.3152093354139291,0.12051800262812105,0.6062421813403415,0.27323823915900136,0.22165986130187842,0.3790797580695851,0.3416977711156369,0.09721049136786189,0.8028413014608228,0.09994847277556439,0.12414180429905662,0.30608195787509623,0.33172989136662284,0.19829947437582163,0.5574097240473062,0.2442875164257554,0.12509756097560976,0.5654134146341464,0.3094914634146342
The Shift,0.0851119308453053,0.18308948508198386,0.297241582775,0.1272520000000001,0.5434457499999998,0.32929975,0.11527057794679423,0.18343473404064997,0.23388268435312473,0.077873469387755,0.8439660714285717,0.07816301020408169,0.07770774554635863,0.25675708761110516,0.3226113095874999,0.14627096370463075,0.49306908635794744,0.36065907384230306,0.10977701612903218,0.5693624999999999,0.3208608870967742
Malta Today,0.10379927872772429,0.23354482354825373,0.31211049105632066,0.16255932415519397,0.6204516896120152,0.21698873591989976,0.13103233069867404,0.1927871565200812,0.26709069075719655,0.07050050377833786,0.8715409319899271,0.05795793450881613,0.08908046665834554,0.29821777234899166,0.32493196888610765,0.27050857142857154,0.5189601298701298,0.21052545454545488,0.17767235294117648,0.5262594117647061,0.2960617647058822
Malta Independent,0.11304949423027856,0.2765509783501133,0.3214352250709672,0.1692224516129033,0.6541992258064515,0.17658077419354845,,,,,,,0.1060954138804828,0.3217597213817765,0.33681807709677397,0.2561233516483519,0.597024862637363,0.14685260989010995,0.1873786885245902,0.58005,0.23257213114754097
Malta Daily,0.1593541446828443,0.4747048517681849,0.347630643829787,0.22152728410513145,0.6567778473091362,0.12169849812265329,,,,,,,0.10985656010245762,0.5410486275775294,0.34869925448060096,0.35471511169513825,0.5176061760841,0.12768002628120892,0.3145184210526315,0.4843447368421052,0.20114473684210524
Gozo News,0.14007389714417512,0.360760561791874,0.3237357271487499,0.177369375,0.7633379999999985,0.059292749999999964,,,,,,,0.13142832030716817,0.4144656268393853,0.34840724648750004,0.3260676240208876,0.625843080939947,0.048088903394255866,0.2665041666666667,0.6058374999999999,0.12768333333333332
